date,category,count
06-16,protest,2
06-23,protest,1
06-30,protest,1
07-07,protest,3
07-14,protest,2
07-21,protest,4
07-28,protest,4
08-04,protest,15
08-11,protest,15
08-18,protest,6
08-25,protest,7
09-01,protest,14
09-08,protest,5
09-15,protest,6
09-22,protest,5
09-29,protest,5
10-06,protest,35
10-13,protest,18
10-20,protest,5
10-27,protest,6
11-03,protest,14
11-10,protest,15
11-17,protest,26
11-24,protest,9
12-01,protest,6
06-20,zero_trust,22.5
08-13,zero_trust,42.7
09-11,zero_trust,48.3
10-14,zero_trust,51.5
