date,case,location,time,incident,latitude,longitude
2019-10-31,Protestors set fire and obstruct fire services in Mong Kok,Mong Kok,2130,set fire,22.315355,114.170237
2019-10-31,Protestors in Lan Kwai Fong participating in unauthorised assembly,Central,2000,unauthorised assembly,22.281638,114.156181
2019-10-31,Police dispersing violent protestors in the vicinity of Mong Kok,Mong Kok,1900,vandalism,22.322579,114.168672
2019-10-31,Protestors block Nathan Road and Prince Edward Road West southbound carriageway,Mong Kok,1900,block roads,22.323996,114.168353
2019-10-28,Rioters hurl petrol bomb to restaurant near Tai Hing Operational Base in Tuen Mun,Tuen Mun,2200,set fire,22.408049,113.969721
2019-10-28,Violent protestors gather at Tai Hing Operational Base in Tuen Mun and block roads,Tuen Mun,2030,block roads,22.40229,113.96978
2019-10-27,Masked rioters vandalise MTR stations and set fires on roads,Yau Ma Tei,1900,vandalism,22.313174,114.170632
2019-10-27,Masked rioters set fire to MTR station and hurled petrol bombs at police officers on Nathan Road in Mong Kok,Mong Kok,1900,set fire,22.319159,114.169409
2019-10-27,Protestors set fire to shops and hurled petrol bombs at police station at night,Jordan,1800,set fire,22.304754,114.171692
2019-10-27,Protestors block roads in the vicinity of Salisbury Road junction with Nathan Road in Tsim Sha Tsui,Tsim Sha Tsui,1200,block roads,22.294826,114.172429
2019-10-26,Protestors damage traffic lights in Yuen Long,Yuen Long,2200,vandalism,22.444511,114.029489
2019-10-26,Protestors block road in Yuen Long,Yuen Long,2100,block roads,22.444511,114.029489
2019-10-21,Rioters hurl hard objects at police officers and vandalise bank facilities in Yuen Long and Police continue to conduct dispersal operation,Yuen Long,2130,vandalism,22.444511,114.029489
2019-10-21,Protestors block road in Yuen Long,Yuen Long,1930,block roads,22.444511,114.029489
2019-10-20,Rioters set fires at multiple locations in Kowloon disregarding safety of the public,Yau Ma Tei,1500,set fire,22.31284,114.169403
2019-10-20,"Rioters vandalise properties in Tsim Sha Tsui, Yau Ma Tei and Mong Kok",Mong Kok,1500,vandalism,22.319159,114.169409
2019-10-20,Protestors block roads in Tsim Sha Tsui and Tsim Sha Tsui Police Station Report Room services suspended,Tsim Sha Tsui,1330,block roads,22.303033,114.167794
2019-10-20,Protestors participating in unauthorized assembly in Tsim Sha Tsui,Tsim Sha Tsui,1330,unauthorised assembly,22.294773,114.172423
2019-10-14,Protestors block carriageways in Central,Central,1900,block roads,22.281091,114.161323
2019-10-13,Rioters vandalise properties and set fire in Mong Kok,Mong Kok,2000,set fire,22.319159,114.169409
2019-10-13,Rioters vandalise police vehicle,Mong Kok,1900,vandalism,22.319159,114.169409
2019-10-13,Police officer is wounded by sharp-edged object,Kwun Tong,1700,vandalism,22.312134,114.226162
2019-10-13,Rioters block road and vandalise properties in various districts Police to conduct dispersal and arrest operations,Sha Tin,1400,set fire,22.381716,114.187066
2019-10-13,Police deploy tear gas to disperse rioters,Tsuen Wan,1400,vandalism,22.373559,114.117709
2019-10-13,Rioters hurl objects into rail track and block road,Mong Kok,1500,block roads,22.319159,114.169409
2019-10-13,Police disperse protestors outside Mong Kok Police Station,Mong Kok,2230,unauthorised assembly,22.324932,114.169411
2019-10-12,Police warn protestors to stop illegal acts and Report Room services of Sham Shui Po and Mong Kok Police Station suspended,Sham Shui Po,1700,set fire,22.332098,114.160564
