date,case,location,time,incident,week,week_day,month
2019-06-10,Police strongly condemn law-breaking behaviours of protestors,Admiralty,0,block roads,W1,weekday,June
2019-06-12,Police take action to stop riot,Admiralty,800,vandalism,W1,weekday,June
2019-06-21,Police condemn protestors for besieging Police Headquarters,Wan Chai,1050,vandalism,W2,weekday,June
2019-06-26,Police stringently follow up on illegal activities of damaging Police Headquarters,Wan Chai,2230,vandalism,W3,weekday,June
2019-07-01,Police to conduct dispersal action in the vicinity of the Legislative Council Complex,Admiralty,400,vandalism,W4,weekend/holiday,July
2019-07-01,Police appeal to public not to go to Wan Chai and Admiralty,Wan Chai,730,targeting police,W4,weekend/holiday,July
2019-07-07,Police fulfil statutory duty to maintain public safety and public order,Mong Kok,2000,block roads,W4,weekend/holiday,July
2019-07-13,Police to conduct dispersal action,Sheung Shui,1700,block roads,W5,weekend/holiday,July
2019-07-14,Violent protests seriously undermine the rule of law,Sha Tin,,block roads,W5,weekend/holiday,July
2019-07-21,Police condemn violent acts,Yuen Long,,assault,W6,weekend/holiday,July
2019-07-21,Police appeal to protestors to leave immediately,Sheung Wan,2000,targeting police,W6,weekend/holiday,July
2019-07-21,Police to conduct clearance operation,Western District,,vandalism,W6,weekend/holiday,July
2019-07-21,Police appeal to public procession participants to leave as soon as possible,Admiralty,1700,block roads,W6,weekend/holiday,July
2019-07-27,Police to conduct dispersal operation soon,Yuen Long,1500,vandalism,W7,weekend/holiday,July
2019-07-28,Police severely condemn radical protestors’ law-breaking behaviours,Causeway Bay,1530,vandalism,W7,weekend/holiday,July
2019-07-28,Protestors committed arson in Sheung Wan,Sheung Wan,,set fire,W7,weekend/holiday,July
2019-07-28,Police are conducting dispersal operation in Western Division,Western District,1900,vandalism,W7,weekend/holiday,July
2019-07-30,Police strongly condemn violent acts in Kwai Chung,Kwai Tsing,2130,assault,W8,weekday,July
2019-07-31,Police strongly condemn violent acts in Tin Shui Wai,Tin Shui Wai,245,assault,W8,weekday,July
2019-08-01,Police condemn violent acts,Sha Tin,2200,vandalism,W8,weekday,Aug
2019-08-03,Protestors surround Tsim Sha Tsui Police Station and commit arson,Tsim Sha Tsui,,set fire,W8,weekend/holiday,Aug
2019-08-03,Protestors blocked entrances of Cross-Harbour Tunnel and various junctions of Nathan Road,Hung Hom,,block roads,W8,weekend/holiday,Aug
2019-08-03,Yau Ma Tei and Tsim Sha Tsui Police Station Report Room services suspended,Yau Ma Tei,,block roads,W8,weekend/holiday,Aug
2019-08-03,Police appeal to public not to deviate from approved procession route,Mong Kok,1600,block roads,W8,weekend/holiday,Aug
